lat;lon;area;rent;condofee;IPTU;bedrooms
-19.971517;-43.941343;253;6800;1980;850;4
-19.933485;-43.94521;273;6500;2275;848;4
-19.933485;-43.94521;319;6500;2200;640;4
-19.940086;-43.923346;350;6000;2700;1161;4
-19.940086;-43.923346;360;6000;2700;1163;4
-19.940086;-43.923346;355;6000;2700;1;3
-19.970964;-43.941962;1400;6000;2650;1177;4
-19.971874;-43.941444;217;6000;2644;1;4
-19.938852;-43.91379;320;8632;0;100;5
-19.935115;-43.931958;130;7500;1095;800;4
-19.934251;-43.946195;170;7000;1560;834;4
-19.931372;-43.946547;254;6000;2550;750;4
-19.932454;-43.94167;260;6000;2550;750;4
-19.976902;-43.943467;205;5800;2700;1213;4
-19.976902;-43.943467;205;5800;2700;1213;4
-19.92895;-43.952462;133;7000;1500;800;4
-19.976902;-43.943467;204;2100000;2700;1213;4
-19.934472;-43.92134;300;8500;0;234;5
-19.976367;-43.943979;205;5800;2700;1213;4
-19.973412;-43.939842;160;6800;1700;792;4
-19.976902;-43.943467;205;5800;2700;1213;4
-19.976367;-43.943979;210;5800;2700;1213;4
-19.932283;-43.942905;395;7000;1500;648;4
-19.952549;-43.91171;380;8500;0;857;4
-19.973697;-43.941358;1500;6800;1700;790;4
-19.976902;-43.943467;204;5800;2700;1213;4
-19.976367;-43.943979;204;5800;2700;1213;4
-19.976367;-43.943979;204;5800;2700;1213;4
-19.976902;-43.943467;204;5800;2700;1215;4
-19.976902;-43.943467;204;5800;2700;1213;4
-19.976522;-43.943223;205;5790;2700;1200;4
-19.934195;-43.941928;188;6500;1985;529;4
-19.945016;-43.91962;320;5000;3480;940;4
-19.865191;-43.983711;340;5980;2500;750;5
-19.956947;-43.934789;1225;5500;2900;1021;3
-19.956947;-43.934789;200;5500;2900;1;3
-19.94635;-43.943639;155;6700;1700;542;4
-19.956947;-43.934789;230;5500;2900;1071;4
-19.956923;-43.91075;570;8330;0;873;5
-19.956947;-43.934789;198;5500;2800;983;4
-19.973323;-43.940293;230;6000;2286;1090;4
-19.973323;-43.940293;230;6000;2260;1;4
-19.973323;-43.940293;230;6000;2259;1247;4
-19.935536;-43.944588;1000;7000;1255;634;5
-19.97671;-43.94251;250;4900;3324;1202;4
-19.973697;-43.941358;160;6500;1700;792;4
-19.926092;-43.947446;150;7000;1200;7000;3
-19.932283;-43.942905;379;6000;2200;6868;4
-19.93479;-43.954054;160;6500;1700;726;4
-19.932283;-43.942905;390;6000;2200;591;4
-19.963194;-43.947801;205;5700;2500;900;4
-19.974971;-43.940375;204;2090000;2700;1213;4
-19.944348;-43.931727;163;6500;1700;730;4
-19.857014;-43.959711;1440;6351;1846;570;3
-19.93479;-43.954054;160;6500;1634;696;4
-19.93479;-43.954054;165;6500;1633;731;4
-19.947322;-43.932605;240;6000;2100;402;4
-19.971316;-43.942282;208;5500;2600;1035;4
-19.943229;-43.931886;230;6300;1800;431;4
-19.937542;-43.941054;120;6000;2077;726;3
-19.935822;-43.926359;240;6000;2050;1087;4
-19.94652;-43.936679;180;1970000;1540;760;4
-19.931489;-43.931468;206;6500;1530;565;4
-19.823898;-43.946296;360;8000;0;175;4
-19.932359;-43.924731;360;8000;0;752;6
-19.907682;-43.977879;680;8000;0;428;7
-19.937586;-43.940765;140;7000;1000;479;4
-19.940251;-43.920796;330;8000;0;267;5
-19.942093;-43.915935;360;8000;0;198;4
-19.953132;-43.924331;320;8000;0;584;5
-19.960171;-43.950403;270;8000;0;317;4
-19.858233;-43.975426;800;8000;0;834;4
-19.956058;-43.930377;267;6000;2000;737;4
-19.858589;-43.983651;150;8000;0;625;6
-19.822641;-43.980741;180;8000;0;342;6
-19.853361;-43.98453;441;8000;0;553;5
-19.894988;-43.972804;840;8000;0;511;5
-19.933367;-43.943418;1320;6500;1500;627;4
-19.859576;-43.940102;497;8000;0;720;5
-19.92879;-43.948484;95;6800;1200;558;3
